,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,planet_orbital_inclination,planet_density,host_temperature,host_mass,host_radius
2471,Kepler-215 d,1608.0,23.6 Earths,13.555,2014,Super Earth,0.213 x Jupiter,0.185 AU,30.9 days,0.0,Kepler-215,Transit,,,5739.0,,1.03
2472,Kepler-215 e,1608.0,3.71 Earths,13.555,2014,Super Earth,1.75 x Earth,0.314 AU,68.2 days,0.0,Kepler-215,Transit,,,5739.0,,1.03
2473,Kepler-216 b,4010.0,6.12 Earths,13.961,2014,Neptune-like,0.21 x Jupiter,0.079 AU,7.7 days,0.0,Kepler-215,Transit,,,5739.0,,1.03
2474,Kepler-216 c,4010.0,9.48 Earths,13.961,2014,Neptune-like,0.271 x Jupiter,0.136 AU,17.4 days,0.0,Kepler-216,Transit,,,6091.0,,1.26
2475,Kepler-217 b,3722.0,5.6 Earths,13.121,2014,Neptune-like,2.23 x Earth,0.065 AU,5.4 days,0.0,Kepler-216,Transit,,,6091.0,,1.26
2476,Kepler-217 c,3722.0,4.08 Earths,13.121,2014,Super Earth,1.85 x Earth,0.089 AU,8.6 days,0.0,Kepler-217,Transit,,,6171.0,,1.8
2477,Kepler-217 d,3722.0,2.3 Earths,13.121,2016,Super Earth,1.32 x Earth,Unknown,3.9 days,0.0,Kepler-217,Transit,,,6171.0,,1.8
2478,Kepler-218 b,2182.0,2.79 Earths,13.907,2014,Super Earth,1.48 x Earth,0.046 AU,3.6 days,0.0,Kepler-217,Transit,,,6171.0,,1.8
2479,Kepler-218 c,2182.0,10 Earths,13.907,2014,Neptune-like,0.28 x Jupiter,0.248 AU,44.7 days,0.0,Kepler-218,Transit,,,5502.0,,1.06
2480,Kepler-218 d,2182.0,7.56 Earths,13.907,2016,Neptune-like,0.237 x Jupiter,Unknown,124.5 days,0.0,Kepler-218,Transit,,,5502.0,,1.06
2481,Kepler-219 b,2627.0,9.01 Earths,13.718,2014,Neptune-like,0.263 x Jupiter,0.057 AU,4.6 days,0.0,Kepler-218,Transit,,,5502.0,,1.06
2482,Kepler-219 c,2627.0,12.5 Earths,13.718,2014,Neptune-like,0.319 x Jupiter,0.165 AU,22.7 days,0.0,Kepler-219,Transit,,,5786.0,,1.49
2483,Kepler-219 d,2627.0,19.1 Earths,13.718,2014,Super Earth,0.251 x Jupiter,0.272 AU,47.9 days,0.0,Kepler-219,Transit,,,5786.0,,1.49
2484,Kepler-21 b,355.0,5.08 Earths,8.25,2012,Super Earth,1.639 x Earth,0.042717 AU,2.8 days,0.02,Kepler-219,Transit,,,5786.0,,1.49
2485,Kepler-220 b,561.0,0.457 Earths,12.857,2014,Terrestrial,0.81 x Earth,0.046 AU,4.2 days,0.0,Kepler-22,Transit,89.764,14.7,5518.0,0.97,0.98
2486,Kepler-220 c,561.0,3.09 Earths,12.857,2014,Super Earth,1.57 x Earth,0.076 AU,9 days,0.0,Kepler-220,Transit,,,4632.0,,0.67
2487,Kepler-220 d,561.0,0.904 Earths,12.857,2014,Terrestrial,0.98 x Earth,0.163 AU,28.1 days,0.0,Kepler-220,Transit,,,4632.0,,0.67
2488,Kepler-220 e,561.0,2.33 Earths,12.857,2014,Super Earth,1.33 x Earth,0.226 AU,45.9 days,0.0,Kepler-220,Transit,,,4632.0,,0.67
2489,Kepler-221 b,1271.0,3.57 Earths,13.749,2014,Super Earth,1.71 x Earth,0.037 AU,2.8 days,0.0,Kepler-220,Transit,,,4632.0,,0.67
2490,Kepler-221 c,1271.0,15.1 Earths,13.749,2014,Super Earth,0.261 x Jupiter,0.059 AU,5.7 days,0.0,Kepler-221,Transit,,,5243.0,,0.82
2491,Kepler-221 d,1271.0,7.9 Earths,13.749,2014,Neptune-like,0.244 x Jupiter,0.087 AU,10 days,0.0,Kepler-221,Transit,,,5243.0,,0.82
2492,Kepler-221 e,1271.0,7.41 Earths,13.749,2014,Neptune-like,0.235 x Jupiter,0.13 AU,18.4 days,0.0,Kepler-221,Transit,,,5243.0,,0.82
2493,Kepler-222 b,2530.0,10.1 Earths,15.06,2014,Neptune-like,0.282 x Jupiter,0.048 AU,3.9 days,0.0,Kepler-221,Transit,,,5243.0,,0.82
2494,Kepler-222 c,2530.0,19.4 Earths,15.06,2014,Neptune-like,0.414 x Jupiter,0.091 AU,10.1 days,0.0,Kepler-222,Transit,,,5433.0,,0.87
2495,Kepler-222 d,2530.0,13.2 Earths,15.06,2014,Neptune-like,0.329 x Jupiter,0.18 AU,28.1 days,0.0,Kepler-222,Transit,,,5433.0,,0.87
2496,Kepler-223 b,6395.0,7.4 Earths,15.395,2014,Neptune-like,0.267 x Jupiter,0.073 AU,7.4 days,0.08,Kepler-222,Transit,,,5433.0,,0.87
2497,Kepler-223 c,6395.0,5.1 Earths,15.395,2014,Neptune-like,0.307 x Jupiter,0.088 AU,9.8 days,0.15,Kepler-223,Transit,90.0,1.54,,1.12,1.72
2498,Kepler-223 d,6395.0,8 Earths,15.395,2014,Neptune-like,0.467 x Jupiter,0.116 AU,14.8 days,0.04,Kepler-223,Transit,90.0,0.71,,1.12,1.72
2499,Kepler-223 e,6395.0,4.8 Earths,15.395,2014,Neptune-like,0.41 x Jupiter,0.14 AU,19.7 days,0.05,Kepler-223,Transit,87.94,0.31,,1.12,1.72
