,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,planet_orbital_inclination,planet_density,host_temperature,host_mass,host_radius
3014,Kepler-415 c,1756.0,5.71 Earths,15.841,2014,Neptune-like,0.201 x Jupiter,Unknown,8.7 days,0.0,Kepler-414,Transit Timing Variations,,,,0.89,0.95
3015,Kepler-416 b,2299.0,0.183 Jupiters,14.02,2014,Super Earth,0.221 x Jupiter,Unknown,6.3 days,0.0,Kepler-415,Transit Timing Variations,,,,0.67,0.64
3016,Kepler-416 c,2299.0,6.57 Earths,14.02,2014,Neptune-like,0.219 x Jupiter,Unknown,12.2 days,0.0,Kepler-415,Transit Timing Variations,,,,0.67,0.64
3017,Kepler-417 b,3260.0,11 Earths,15.866,2014,Super Earth,0.206 x Jupiter,Unknown,12.3 days,0.0,Kepler-416,Transit Timing Variations,,,,1.0,1.07
3018,Kepler-417 c,3260.0,7.7 Earths,15.866,2014,Neptune-like,0.24 x Jupiter,Unknown,15.9 days,0.0,Kepler-416,Transit Timing Variations,,,,1.0,1.07
3019,Kepler-418 b,3366.0,1.1 Jupiters,14.649,2014,Gas Giant,1.2 x Jupiter,Unknown,86.7 days,0.2,Kepler-417,Transit Timing Variations,,,,0.9,0.81
3020,Kepler-419 b,3397.0,2.5 Jupiters,12.964,2014,Gas Giant,0.96 x Jupiter,0.37 AU,69.8 days,0.83,Kepler-417,Transit Timing Variations,,,,0.9,0.81
3021,Kepler-419 c,3397.0,7.3 Jupiters,12.964,2014,Gas Giant,1.13 x Jupiter,1.68 AU,1.9 years,0.18,Kepler-418,Transit,89.952,,5820.0,0.98,1.09
3022,Kepler-41 b,3680.0,0.56 Jupiters,14.413,2011,Gas Giant,1.29 x Jupiter,0.03101 AU,1.9 days,0.0,Kepler-419,Transit,88.95,,6430.0,1.39,1.74
3023,Kepler-421 b,1044.0,16.1 Earths,13.348,2014,Neptune-like,0.371 x Jupiter,1.219 AU,1.9 years,0.04,Kepler-419,Transit Timing Variations,88.0,,6430.0,1.39,1.74
3024,Kepler-422 b,2408.0,0.43 Jupiters,13.423,2014,Gas Giant,1.15 x Jupiter,0.082 AU,7.9 days,< 0.55,Kepler-42,Transit,,,3068.0,0.13,0.17
3025,Kepler-423 b,2365.0,0.595 Jupiters,14.28,2014,Gas Giant,1.192 x Jupiter,0.03585 AU,2.7 days,0.02,Kepler-42,Transit,,,3068.0,0.13,0.17
3026,Kepler-424 b,2325.0,1.03 Jupiters,14.229,2014,Gas Giant,0.89 x Jupiter,0.044 AU,3.3 days,< 0.076,Kepler-42,Transit,,,3068.0,0.13,0.17
3027,Kepler-424 c,2325.0,6.97 Jupiters,14.229,2014,Gas Giant,1.13 x Jupiter,0.73 AU,223.3 days,0.0,Kepler-421,Transit,89.965,,5308.0,0.79,0.76
3028,Kepler-425 b,2120.0,0.25 Jupiters,14.97,2014,Gas Giant,0.978 x Jupiter,0.0464 AU,3.8 days,< 0.33,Kepler-422,Transit,,0.38,5972.0,1.15,1.24
3029,Kepler-426 b,2871.0,0.34 Jupiters,15.073,2014,Gas Giant,1.09 x Jupiter,0.0414 AU,3.2 days,< 0.18,Kepler-423,Transit,87.828,0.459,5560.0,0.85,0.95
3030,Kepler-427 b,3588.0,0.29 Jupiters,14.42,2014,Gas Giant,1.23 x Jupiter,0.091 AU,10.3 days,< 0.57,Kepler-424,Transit,,1.94,5460.0,1.01,0.94
3031,Kepler-428 b,2349.0,1.27 Jupiters,15.405,2014,Gas Giant,1.08 x Jupiter,0.0433 AU,3.5 days,< 0.22,Kepler-424,Radial Velocity,,,5460.0,1.01,0.94
3032,Kepler-42 b,126.0,0.399 Earths,16.124,2011,Terrestrial,0.78 x Earth,0.0116 AU,1.2 days,0.04,Kepler-425,Transit,87.02,0.27,5170.0,0.93,0.86
3033,Kepler-42 c,126.0,0.315 Earths,16.124,2011,Terrestrial,0.73 x Earth,0.006 AU,0.5 days,0.0,Kepler-426,Transit,85.74,0.26,5725.0,0.91,0.92
3034,Kepler-42 d,126.0,0.13 Earths,16.124,2011,Terrestrial,0.57 x Earth,0.0154 AU,1.9 days,0.02,Kepler-427,Transit,89.5,0.16,5800.0,0.96,1.35
3035,Kepler-430 b,3074.0,10.6 Earths,13.814,2015,Neptune-like,0.29 x Jupiter,0.2244 AU,36 days,0.0,Kepler-428,Transit,89.36,1.02,5150.0,0.87,0.8
3036,Kepler-430 c,3074.0,3.71 Earths,13.814,2015,Super Earth,1.75 x Earth,0.4757 AU,111 days,0.0,Kepler-43,Transit,84.646,5.0,6041.0,1.32,1.42
3037,Kepler-431 b,1610.0,0.37 Earths,11.929,2015,Terrestrial,0.764 x Earth,0.0719 AU,6.8 days,0.0,Kepler-430,Transit,,,5884.0,1.17,1.49
3038,Kepler-431 c,1610.0,0.229 Earths,11.929,2015,Terrestrial,0.668 x Earth,0.0847 AU,8.7 days,0.0,Kepler-430,Transit,,,5884.0,1.17,1.49
3039,Kepler-431 d,1610.0,1.41 Earths,11.929,2015,Super Earth,1.11 x Earth,0.1045 AU,11.9 days,0.0,Kepler-431,Transit,,,6004.0,1.07,1.09
3040,Kepler-432 b,2838.0,5.41 Jupiters,12.465,2015,Gas Giant,1.145 x Jupiter,0.301 AU,52.5 days,0.51,Kepler-431,Transit,,,6004.0,1.07,1.09
3041,Kepler-432 c,2838.0,2.43 Jupiters,12.465,2015,Gas Giant,1.18 x Jupiter,Unknown,406.2 days,0.5,Kepler-431,Transit,,,6004.0,1.07,1.09
3042,Kepler-433 b,6100.0,2.82 Jupiters,14.416,2015,Gas Giant,1.45 x Jupiter,0.0679 AU,5.3 days,0.12,Kepler-432,Transit,88.17,4.46,4995.0,1.32,4.06
3043,Kepler-434 b,4045.0,2.86 Jupiters,14.5,2015,Gas Giant,1.13 x Jupiter,0.1143 AU,12.9 days,0.13,Kepler-432,Radial Velocity,,,4995.0,1.32,4.06
3044,Kepler-435 b,6752.0,0.84 Jupiters,13.604,2015,Gas Giant,1.99 x Jupiter,0.0948 AU,8.6 days,0.11,Kepler-433,Transit,89.21,1.13,6360.0,1.46,2.26
3045,Kepler-436 b,2016.0,7.9 Earths,15.862,2015,Neptune-like,0.24 x Jupiter,0.339 AU,64 days,0.19,Kepler-434,Transit,86.46,2.4,5977.0,1.2,1.38
3046,Kepler-436 c,2016.0,6.04 Earths,15.862,2016,Neptune-like,0.208 x Jupiter,Unknown,16.8 days,0.0,Kepler-435,Transit,85.51,0.131,6161.0,1.54,3.21
3047,Kepler-437 b,1360.0,5.22 Earths,14.362,2015,Neptune-like,2.14 x Earth,0.288 AU,66.7 days,0.02,Kepler-436,Transit,89.93,,4651.0,0.73,0.7
3048,Kepler-438 b,473.0,1.46 Earths,14.485,2015,Super Earth,1.12 x Earth,0.166 AU,35.2 days,0.03,Kepler-436,Transit,,,4651.0,0.73,0.7
3049,Kepler-439 b,2261.0,5.65 Earths,14.545,2015,Neptune-like,0.2 x Jupiter,0.563 AU,178.1 days,0.03,Kepler-437,Transit,89.9,,4551.0,0.71,0.68
3050,Kepler-43 b,3379.0,3.23 Jupiters,13.889,2011,Gas Giant,1.219 x Jupiter,0.046 AU,3 days,0.02,Kepler-438,Transit,89.86,,3748.0,0.54,0.52
3051,Kepler-440 b,851.0,4.12 Earths,15.106,2015,Super Earth,1.86 x Earth,0.242 AU,101.1 days,0.34,Kepler-439,Transit,89.95,,5431.0,0.88,0.87
3052,Kepler-441 b,926.0,3.33 Earths,15.135,2015,Super Earth,1.64 x Earth,0.64 AU,207.2 days,0.1,Kepler-44,Transit,84.96,0.93,5800.0,1.12,1.35
3053,Kepler-442 b,1116.0,2.36 Earths,14.93,2015,Super Earth,1.34 x Earth,0.409 AU,112.3 days,0.04,Kepler-440,Transit,89.93,,4134.0,0.57,0.56
3054,Kepler-443 b,2541.0,6.04 Earths,15.901,2015,Neptune-like,0.21 x Jupiter,0.495 AU,177.7 days,0.11,Kepler-441,Transit,89.97,,4340.0,0.57,0.55
3055,Kepler-444 b,119.0,0.0374 Earths,8.88,2015,Terrestrial,0.403 x Earth,0.04178 AU,3.6 days,0.16,Kepler-442,Transit,89.94,,4402.0,0.61,0.6
3056,Kepler-444 c,119.0,0.0793 Earths,8.88,2015,Terrestrial,0.497 x Earth,0.04881 AU,4.5 days,0.31,Kepler-443,Transit,89.94,,4723.0,0.74,0.71
3057,Kepler-444 d,119.0,0.2 Earths,8.88,2015,Terrestrial,0.53 x Earth,0.06 AU,6.2 days,0.18,Kepler-444,Transit,88.0,,5046.0,0.76,0.75
3058,Kepler-444 e,119.0,0.1 Earths,8.88,2015,Terrestrial,0.546 x Earth,0.0696 AU,7.7 days,0.1,Kepler-444,Transit,88.2,,5046.0,0.76,0.75
3059,Kepler-444 f,119.0,0.332 Earths,8.88,2015,Terrestrial,0.741 x Earth,0.0811 AU,9.7 days,0.29,Kepler-444,Transit,88.16,,5046.0,0.76,0.75
3060,Kepler-445 b,294.0,3.12 Earths,16.716,2015,Super Earth,1.58 x Earth,Unknown,3 days,0.0,Kepler-444,Transit,89.13,,5046.0,0.76,0.75
3061,Kepler-445 c,294.0,6.85 Earths,16.716,2015,Neptune-like,0.22 x Jupiter,Unknown,4.9 days,0.0,Kepler-444,Transit,87.96,,5046.0,0.76,0.75
3062,Kepler-445 d,294.0,2.1 Earths,16.716,2015,Super Earth,1.25 x Earth,Unknown,8.2 days,0.0,Kepler-445,Transit,89.74,,3157.0,0.18,0.21
3063,Kepler-446 b,391.0,2.86 Earths,16.31,2015,Super Earth,1.5 x Earth,Unknown,1.6 days,0.0,Kepler-445,Transit,89.91,,3157.0,0.18,0.21
3064,Kepler-446 c,391.0,1.41 Earths,16.31,2015,Super Earth,1.11 x Earth,Unknown,3 days,0.0,Kepler-445,Transit,89.61,,3157.0,0.18,0.21
3065,Kepler-446 d,391.0,2.39 Earths,16.31,2015,Super Earth,1.35 x Earth,Unknown,5.1 days,0.0,Kepler-446,Transit,87.42,,3359.0,0.22,0.24
3066,Kepler-447 b,881.0,1.37 Jupiters,12.379,2015,Gas Giant,1.65 x Jupiter,0.0769 AU,7.8 days,0.12,Kepler-446,Transit,88.97,,3359.0,0.22,0.24
3067,Kepler-448 c,1318.0,22 Jupiters,11.253,2017,Gas Giant,1.07 x Jupiter,4.2 AU,6.8 years,0.65,Kepler-446,Transit,88.72,,3359.0,0.22,0.24
3068,Kepler-449 b,910.0,4.88 Earths,11.226,2015,Super Earth,2.056 x Earth,Unknown,12.6 days,0.03,Kepler-447,Transit,86.55,0.4,5493.0,1.0,1.05
3069,Kepler-449 c,910.0,8.07 Earths,11.226,2015,Neptune-like,0.247 x Jupiter,Unknown,33.7 days,0.05,KOI-12,Transit Timing Variations,,,,1.5,1.4
3070,Kepler-44 b,4009.0,1 Jupiter,14.69,2011,Gas Giant,1.09 x Jupiter,0.0446 AU,3.2 days,< 0.066,Kepler-449,Transit,,,,0.97,1.47
3071,Kepler-450 b,1507.0,31.3 Earths,11.653,2015,Neptune-like,0.548 x Jupiter,Unknown,28.5 days,0.02,Kepler-449,Transit,,,,0.97,1.47
3072,Kepler-450 c,1507.0,7.37 Earths,11.653,2015,Neptune-like,0.234 x Jupiter,Unknown,15.4 days,0.02,Kepler-45,Transit,87.0,0.8,3820.0,0.59,0.55
3073,Kepler-450 d,1507.0,0.514 Earths,11.653,2015,Terrestrial,0.837 x Earth,Unknown,7.5 days,0.14,Kepler-450,Transit,,,,1.35,1.57
3074,Kepler-452 b,1829.0,3.29 Earths,13.405,2015,Super Earth,1.63 x Earth,1.046 AU,384.8 days,0.0,Kepler-450,Transit,,,,1.35,1.57
3075,Kepler-453 b,1463.0,16 Earths,13.523,2015,Neptune-like,0.553 x Jupiter,0.7903 AU,240.5 days,0.04,Kepler-450,Transit,,,,1.35,1.57
3076,Kepler-454 b,758.0,6.3566 Earths,11.57,2015,Neptune-like,0.21 x Jupiter,0.0954 AU,10.6 days,0.0,Kepler-452,Transit,89.806,,5757.0,1.04,1.11
3077,Kepler-454 c,758.0,4.46 Jupiters,11.57,2015,Gas Giant,1.15 x Jupiter,Unknown,1.4 years,0.02,Kepler-453,Transit,89.443,,5527.0,0.94,0.83
3078,Kepler-458 c,5450.0,16.4 Earths,13.907,2016,Neptune-like,0.375 x Jupiter,Unknown,20.7 days,0.0,Kepler-454,Transit,87.09,,5701.0,0.85,1.05
3079,Kepler-45 b,1086.0,0.505 Jupiters,16.88,2011,Gas Giant,0.96 x Jupiter,0.03 AU,2.5 days,0.11,Kepler-454,Radial Velocity,,,5701.0,0.85,1.05
3080,Kepler-460 c,4314.0,26.1 Earths,13.751,2016,Neptune-like,0.492 x Jupiter,Unknown,220.1 days,0.0,KIC 9663113,Transit,,,6065.0,0.98,1.03
3081,Kepler-461 b,1527.0,7.18 Earths,13.333,2016,Neptune-like,0.23 x Jupiter,Unknown,8.3 days,0.0,Kepler-46,Transit,89.038,14.0,5309.0,,0.79
3082,Kepler-462 b,2391.0,13.7 Earths,11.615,2016,Neptune-like,0.336 x Jupiter,Unknown,84.7 days,0.06,Kepler-46,Transit Timing Variations,87.4,,5309.0,,0.79
3083,Kepler-463 b,1096.0,9.53 Earths,12.86,2016,Neptune-like,0.272 x Jupiter,Unknown,9 days,0.0,Kepler-46,Transit,,,5309.0,,0.79
3084,Kepler-464 b,2130.0,10.9 Earths,12.672,2016,Neptune-like,0.294 x Jupiter,Unknown,7.3 days,0.0,KIC 5437945,Transit,,,6340.0,1.07,1.24
3085,Kepler-465 b,1915.0,9.01 Earths,12.591,2016,Neptune-like,0.263 x Jupiter,Unknown,9.9 days,0.0,Kepler-461,Transit,,,5634.0,0.98,0.91
3086,Kepler-466 b,1422.0,8.5 Earths,12.763,2016,Neptune-like,0.254 x Jupiter,Unknown,51.1 days,0.0,Kepler-462,Transit,,,7070.0,1.59,2.04
3087,Kepler-466 c,1422.0,2.1 Earths,12.763,2016,Super Earth,1.25 x Earth,Unknown,3.7 days,0.0,Kepler-463,Transit,,,5661.0,0.87,0.9
3088,Kepler-467 b,1494.0,5.69 Earths,12.359,2016,Neptune-like,0.201 x Jupiter,Unknown,25 days,0.0,Kepler-464,Transit,,,5933.0,1.21,1.59
3089,Kepler-468 b,1546.0,Unknown,13.73,2016,Gas Giant,1.19 x Jupiter,Unknown,38.5 days,0.0,Kepler-465,Transit,,,6310.0,1.23,1.29
3090,Kepler-46 b,2592.0,6 Jupiters,15.255,2012,Gas Giant,0.808 x Jupiter,0.1968 AU,33.6 days,0.01,Kepler-466,Transit,,,5927.0,1.04,1.05
3091,Kepler-46 c,2592.0,0.376 Jupiters,15.255,2012,Gas Giant,1.21 x Jupiter,0.2799 AU,57 days,0.01,Kepler-466,Transit,,,5927.0,1.04,1.05
3092,Kepler-46 d,2592.0,3.33 Earths,15.255,2014,Super Earth,1.64 x Earth,0.067 AU,6.8 days,0.0,Kepler-467,Transit,,,5809.0,1.05,1.37
3093,Kepler-470 b,3226.0,112 Jupiters,13.161,2016,Gas Giant,1.288 x Jupiter,Unknown,24.7 days,0.0,Kepler-468,Transit,,,5498.0,0.96,0.87
3094,Kepler-471 b,4479.0,117 Jupiters,13.789,2016,Gas Giant,1.335 x Jupiter,Unknown,5 days,0.0,Kepler-47,Transit,89.752,0.4,,0.96,0.94
3095,Kepler-472 b,985.0,10.5 Earths,13.67,2016,Neptune-like,0.287 x Jupiter,Unknown,4.2 days,0.0,Kepler-47,Transit,90.192,0.17,,0.96,0.94
3096,Kepler-473 b,2091.0,15.6 Earths,13.369,2016,Neptune-like,0.364 x Jupiter,Unknown,14.6 days,0.0,Kepler-47,Transit,90.395,0.3,,0.96,0.94
3097,Kepler-474 b,1853.0,9.59 Earths,13.469,2016,Neptune-like,0.273 x Jupiter,Unknown,5.7 days,0.0,Kepler-470,Transit,,,6613.0,1.4,1.66
3098,Kepler-475 b,913.0,6.76 Earths,13.316,2016,Neptune-like,0.222 x Jupiter,Unknown,3.1 days,0.0,Kepler-471,Transit,,,6733.0,1.49,1.8
3099,Kepler-476 b,2241.0,9.69 Earths,13.86,2016,Neptune-like,0.275 x Jupiter,Unknown,14 days,0.0,Kepler-472,Transit,,,4996.0,0.85,0.78
3100,Kepler-477 b,1197.0,4.94 Earths,13.536,2016,Super Earth,2.07 x Earth,Unknown,11.1 days,0.0,Kepler-473,Transit,,,5816.0,1.06,1.34
3101,Kepler-478 b,1370.0,7.8 Earths,13.967,2016,Neptune-like,0.242 x Jupiter,Unknown,13.2 days,0.0,Kepler-474,Transit,,,5785.0,0.99,1.08
3102,Kepler-479 b,1210.0,5.14 Earths,13.544,2016,Neptune-like,2.12 x Earth,Unknown,12.5 days,0.0,Kepler-475,Transit,,,5009.0,0.86,0.79
3103,Kepler-47 b,3442.0,2.07 Earths,15.163,2012,Neptune-like,0.272 x Jupiter,0.2877 AU,49.5 days,0.02,Kepler-476,Transit,,,5837.0,1.03,1.09
3104,Kepler-47 c,3442.0,3.17 Earths,15.163,2012,Neptune-like,0.415 x Jupiter,0.9638 AU,303.2 days,0.04,Kepler-477,Transit,,,5240.0,0.87,0.79
3105,Kepler-47 d,3442.0,19.02 Earths,15.163,2019,Neptune-like,0.628 x Jupiter,0.6992 AU,187.4 days,0.02,Kepler-478,Transit,,,5210.0,0.85,0.8
3106,Kepler-480 b,2629.0,8.15 Earths,13.211,2016,Neptune-like,0.248 x Jupiter,Unknown,4.9 days,0.0,Kepler-479,Transit,,,5247.0,0.86,0.81
3107,Kepler-481 b,2326.0,6.8 Earths,13.815,2016,Neptune-like,0.223 x Jupiter,Unknown,10.1 days,0.0,Kepler-48,Transit,,3.23,5194.0,0.88,0.89
3108,Kepler-482 b,946.0,6.17 Earths,13.762,2016,Neptune-like,0.211 x Jupiter,Unknown,56.4 days,0.0,Kepler-48,Transit,,4.01,5194.0,0.88,0.89
3109,Kepler-483 b,3109.0,10.4 Earths,13.389,2016,Neptune-like,0.286 x Jupiter,Unknown,30.2 days,0.0,Kepler-48,Transit,,5.08,5194.0,0.88,0.89
3110,Kepler-484 b,1230.0,5.82 Earths,13.0,2016,Neptune-like,0.203 x Jupiter,Unknown,10 days,0.0,Kepler-48,Radial Velocity,,,5194.0,0.88,0.89
3111,Kepler-485 b,3826.0,112 Jupiters,14.898,2016,Gas Giant,1.286 x Jupiter,Unknown,3.2 days,0.0,Kepler-480,Transit,,,6322.0,1.25,1.34
3112,Kepler-486 b,1396.0,0.265 Jupiters,14.38,2016,Gas Giant,0.981 x Jupiter,Unknown,30.4 days,0.0,Kepler-481,Transit,,,5802.0,1.01,1.09
3113,Kepler-487 b,2724.0,Unknown,15.065,2016,Gas Giant,1.019 x Jupiter,Unknown,15.4 days,0.0,Kepler-482,Transit,,,4871.0,0.75,0.72
3114,Kepler-487 c,2724.0,7.65 Earths,15.065,2016,Neptune-like,0.239 x Jupiter,Unknown,38.7 days,0.0,Kepler-483,Transit,,,6346.0,1.28,1.47
3115,Kepler-488 b,3774.0,124 Jupiters,14.752,2016,Gas Giant,1.409 x Jupiter,Unknown,3.1 days,0.0,Kepler-484,Transit,,,5668.0,0.96,0.87
3116,Kepler-489 b,1236.0,0.145 Jupiters,14.018,2016,Gas Giant,0.689 x Jupiter,Unknown,17.3 days,0.0,Kepler-485,Transit,,,5958.0,1.07,1.09
3117,Kepler-48 b,1009.0,3.94 Earths,13.077,2012,Super Earth,1.88 x Earth,Unknown,4.8 days,0.0,Kepler-486,Transit,,,4926.0,0.79,0.75
3118,Kepler-48 c,1009.0,14.61 Earths,13.077,2012,Super Earth,0.242 x Jupiter,Unknown,9.7 days,0.0,Kepler-487,Transit,,,5444.0,0.91,0.88
3119,Kepler-48 d,1009.0,7.93 Earths,13.077,2014,Super Earth,2.04 x Earth,Unknown,42.9 days,0.0,Kepler-487,Transit,,,5444.0,0.91,0.88
3120,Kepler-48 e,1009.0,2.067 Jupiters,13.077,2014,Gas Giant,1.19 x Jupiter,Unknown,2.7 years,0.0,Kepler-488,Transit,,,5970.0,1.07,1.09
3121,Kepler-490 b,4074.0,Unknown,14.817,2016,Gas Giant,1.039 x Jupiter,Unknown,3.3 days,0.0,Kepler-489,Transit,,,5014.0,0.82,0.76
3122,Kepler-491 b,2143.0,0.186 Jupiters,13.962,2016,Gas Giant,0.796 x Jupiter,Unknown,4.2 days,0.0,Kepler-49,Transit,,,4252.0,,0.56
3123,Kepler-492 b,2094.0,0.21 Jupiters,14.511,2016,Gas Giant,0.856 x Jupiter,Unknown,11.7 days,0.0,Kepler-49,Transit,,,4252.0,,0.56
3124,Kepler-493 b,6335.0,118 Jupiters,15.035,2016,Gas Giant,1.35 x Jupiter,Unknown,3 days,0.0,Kepler-49,Transit,,,4252.0,,0.56
3125,Kepler-494 b,2812.0,0.127 Jupiters,14.122,2016,Gas Giant,0.637 x Jupiter,Unknown,8 days,0.0,Kepler-49,Transit,,,4252.0,,0.56
3126,Kepler-495 b,2055.0,23.8 Earths,14.607,2016,Neptune-like,0.467 x Jupiter,Unknown,3.4 days,0.0,Kepler-490,Transit,,,6045.0,1.08,1.12
3127,Kepler-496 b,2137.0,5.99 Earths,14.796,2016,Neptune-like,0.207 x Jupiter,Unknown,8.3 days,0.0,Kepler-491,Transit,,,5582.0,1.04,1.03
3128,Kepler-497 b,3490.0,30.4 Earths,15.099,2016,Neptune-like,0.539 x Jupiter,Unknown,3.6 days,0.0,Kepler-492,Transit,,,5527.0,0.94,0.91
3129,Kepler-498 b,2433.0,9.43 Earths,14.246,2016,Neptune-like,0.27 x Jupiter,Unknown,9.6 days,0.0,Kepler-493,Transit,,,6457.0,1.36,1.54
3130,Kepler-499 b,1706.0,5.35 Earths,14.349,2016,Neptune-like,2.17 x Earth,Unknown,5.6 days,0.0,Kepler-494,Transit,,,6007.0,1.1,1.26
3131,Kepler-49 b,1024.0,0.98 Jupiters,15.229,2012,Neptune-like,0.243 x Jupiter,0.05929 AU,7.2 days,0.0,Kepler-495,Transit,,,5346.0,0.86,0.83
3132,Kepler-49 c,1024.0,0.72 Jupiters,15.229,2012,Neptune-like,0.227 x Jupiter,0.07821 AU,10.9 days,0.0,Kepler-496,Transit,,,5293.0,0.86,0.82
3133,Kepler-49 d,1024.0,3.19 Earths,15.229,2014,Super Earth,1.6 x Earth,0.031 AU,2.6 days,0.0,Kepler-497,Transit,,,5834.0,1.09,1.11
3134,Kepler-49 e,1024.0,3.05 Earths,15.229,2014,Super Earth,1.56 x Earth,0.116 AU,18.6 days,0.0,Kepler-498,Transit,,,5744.0,0.98,0.96
3135,Kepler-4 b,1794.0,24.472 Earths,12.7,2009,Neptune-like,0.357 x Jupiter,0.0456 AU,3.2 days,0.0,Kepler-499,Transit,,,5312.0,0.87,0.83
3136,Kepler-500 b,2437.0,7.18 Earths,14.174,2016,Neptune-like,0.23 x Jupiter,Unknown,8.5 days,0.0,Kepler-5,Transit,89.14,0.4,6297.0,1.37,1.79
3137,Kepler-501 b,3406.0,17.1 Earths,14.73,2016,Neptune-like,0.384 x Jupiter,Unknown,5.6 days,0.0,Kepler-50,Transit,,,6225.0,1.24,1.58
3138,Kepler-502 b,4674.0,20.4 Earths,14.972,2016,Neptune-like,0.426 x Jupiter,Unknown,4.3 days,0.0,Kepler-50,Transit,,,6225.0,1.24,1.58
3139,Kepler-504 b,245.0,3.15 Earths,14.458,2016,Super Earth,1.59 x Earth,Unknown,9.5 days,0.0,Kepler-500,Transit,,,5813.0,1.02,1.03
3140,Kepler-505 b,724.0,7.27 Earths,15.115,2016,Neptune-like,0.232 x Jupiter,Unknown,27.5 days,0.0,Kepler-501,Transit,,,5904.0,1.03,1.04
3141,Kepler-506 b,754.0,7.9 Earths,10.784,2016,Neptune-like,0.244 x Jupiter,Unknown,6.9 days,0.0,Kepler-502,Transit,,,6125.0,1.15,1.22
3142,Kepler-507 b,1337.0,2.24 Earths,11.922,2016,Super Earth,1.3 x Earth,Unknown,3.6 days,0.0,Kepler-504,Transit,,,3519.0,0.33,0.33
3143,Kepler-508 b,1060.0,3.33 Earths,11.604,2016,Super Earth,1.64 x Earth,Unknown,25.3 days,0.0,Kepler-505,Transit,,,3931.0,0.55,0.53
3144,Kepler-509 b,1106.0,6.76 Earths,11.784,2016,Neptune-like,0.222 x Jupiter,Unknown,41.7 days,0.0,Kepler-506,Transit,,,6236.0,1.19,1.19
3145,Kepler-50 b,822.0,3.57 Earths,10.362,2012,Super Earth,1.71 x Earth,0.077 AU,7.8 days,0.0,Kepler-507,Transit,,,6113.0,1.16,1.32
3146,Kepler-50 c,822.0,5.35 Earths,10.362,2012,Neptune-like,2.17 x Earth,0.087 AU,9.4 days,0.0,Kepler-508,Transit,,,6025.0,1.16,1.25
3147,Kepler-510 b,1233.0,6.66 Earths,11.922,2016,Neptune-like,0.22 x Jupiter,Unknown,19.6 days,0.0,Kepler-509,Transit,,,6060.0,1.1,1.2
3148,Kepler-511 b,1461.0,33.1 Earths,12.583,2016,Neptune-like,0.567 x Jupiter,Unknown,296.6 days,0.0,Kepler-51,Transit,,0.03,6018.0,1.04,0.94
3149,Kepler-512 b,1732.0,7.7 Earths,12.613,2016,Neptune-like,0.24 x Jupiter,Unknown,34.4 days,0.0,Kepler-51,Transit,,0.03,6018.0,1.04,0.94
3150,Kepler-513 b,1523.0,5.48 Earths,12.882,2016,Neptune-like,2.2 x Earth,Unknown,28.9 days,0.0,Kepler-51,Transit,,0.046,6018.0,1.04,0.94
3151,Kepler-514 b,1595.0,3.61 Earths,12.133,2016,Super Earth,1.72 x Earth,Unknown,5.7 days,0.0,Kepler-510,Transit,,,5746.0,0.91,1.41
3152,Kepler-515 b,832.0,2.73 Earths,12.713,2016,Super Earth,1.46 x Earth,Unknown,20 days,0.0,Kepler-511,Transit,,,5770.0,1.0,1.2
3153,Kepler-516 b,2535.0,27.9 Earths,11.964,2016,Neptune-like,0.512 x Jupiter,Unknown,24.9 days,0.0,Kepler-512,Transit,,,5997.0,1.17,1.3
3154,Kepler-517 b,926.0,7.61 Earths,12.13,2016,Neptune-like,0.238 x Jupiter,Unknown,60.9 days,0.0,Kepler-513,Transit,,,5849.0,1.02,1.06
3155,Kepler-518 b,1057.0,5.1 Earths,12.51,2016,Neptune-like,2.11 x Earth,Unknown,8.5 days,0.0,Kepler-514,Transit,,,6106.0,1.28,1.44
3156,Kepler-519 b,763.0,5.06 Earths,12.618,2016,Neptune-like,2.1 x Earth,Unknown,24.3 days,0.0,Kepler-515,Transit,,,5293.0,0.9,0.83
3157,Kepler-51 b,2615.0,2.1 Earths,14.678,2012,Neptune-like,0.633 x Jupiter,0.2514 AU,45.2 days,0.04,Kepler-516,Transit,,,7099.0,1.62,2.02
3158,Kepler-51 c,2615.0,4 Earths,14.678,2012,Neptune-like,0.803 x Jupiter,0.384 AU,85.3 days,0.01,Kepler-517,Transit,,,5690.0,0.95,0.98
3159,Kepler-51 d,2615.0,7.6 Earths,14.678,2014,Neptune-like,0.865 x Jupiter,0.509 AU,130.2 days,0.01,Kepler-518,Transit,,,5842.0,0.96,0.88
3160,Kepler-520 b,1605.0,3.39 Earths,12.76,2016,Super Earth,1.66 x Earth,Unknown,19.7 days,0.0,Kepler-519,Transit,,,5260.0,0.89,0.8
3161,Kepler-520 c,1605.0,1.24 Earths,12.76,2016,Super Earth,1.07 x Earth,Unknown,5.2 days,0.0,Kepler-52,Transit,,,4263.0,,0.56
3162,Kepler-521 b,2404.0,10.2 Earths,12.891,2016,Neptune-like,0.284 x Jupiter,Unknown,22.2 days,0.0,Kepler-52,Transit,,,4263.0,,0.56
3163,Kepler-522 b,2443.0,38.2 Earths,12.146,2016,Gas Giant,0.616 x Jupiter,Unknown,38.6 days,0.0,Kepler-52,Transit,,,4263.0,,0.56
